Sponsor Name,BioGuide ID,Party,State,District,Number of Bills Sponsored,Top Policy Areas,Bill Titles,Bill Policy Areas,Bill Cosponsors Count,Bill Committee Count,Bill Committee Details URL,Bill Statuses,Bill Links
"Rep. Williams, Brandon [R-NY-22]",W000828,R,NY,22,2,"Science, Technology, Communications(2)",DOE and NASA Interagency Research Coordination Act | Department of Energy Artificial Intelligence Act of 2024,"Science, Technology, Communications | Science, Technology, Communications",4 | 1,2 | 1,https://api.congress.gov/v3/bill/118/hr/2988/committees?format=json | https://api.congress.gov/v3/bill/118/hr/9671/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/2988 | https://www.congress.gov/bill/118th-congress/house-bill/9671
"Rep. Beatty, Joyce [D-OH-3]",B001281,D,OH,3,2,Finance and Financial Sector(2),Examining Educational Redlining in Lending Act | Free Credit Scores for Consumers Act of 2024,Finance and Financial Sector | Finance and Financial Sector,0 | 0,1 | 1,https://api.congress.gov/v3/bill/118/hr/8142/committees?format=json | https://api.congress.gov/v3/bill/118/hr/8143/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8142/text | https://www.congress.gov/bill/118th-congress/house-bill/8143/text
"Rep. Brown, Shontel M. [D-OH-11]",B001313,D,OH,11,1,Government Operations and Politics(1),Securing Elections From AI Deception Act,Government Operations and Politics,54,1,https://api.congress.gov/v3/bill/118/hr/8858/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8858/text
"Rep. Ryan, Tim [D-OH-13]",R000577,D,OH,13,6,"Science, Technology, Communications(6)","Research and Development, Competition, and Innovation Act, Title IV, Section 10402 (""National engineering biology research and development initiative"") | Research and Development, Competition, and Innovation Act, Title VI, Section 10731 (""Microelectronics research for energy innovation"") | Research and Development, Competition, and Innovation Act, Title VI, Section 10771 (""Department of Energy research, development, and demonstration activities"") | Research and Development, Competition, and Innovation Act, Title I (""Department of Energy Science for the Future"") | Research and Development, Competition, and Innovation Act, Title II (""National Institute of Standards and Technology for the Future""), Subtitle B (""Measurement Research"") | Research and Development, Competition, and Innovation Act, Title III (""National Science Foundation for the Future"")","Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications",0 | 0 | 0 | 0 | 0 | 0,2 | 2 | 2 | 2 | 2 | 2,https://api.congress.gov/v3/bill/117/hr/4346/committees?format=json | https://api.congress.gov/v3/bill/117/hr/4346/committees?format=json | https://api.congress.gov/v3/bill/117/hr/4346/committees?format=json | https://api.congress.gov/v3/bill/117/hr/4346/committees?format=json | https://api.congress.gov/v3/bill/117/hr/4346/committees?format=json | https://api.congress.gov/v3/bill/117/hr/4346/committees?format=json,Enacted | Enacted | Enacted | Enacted | Enacted | Enacted,https://www.congress.gov/bill/117th-congress/house-bill/4346/text?s=1&r=4&q=%7B%22search%22%3A%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%7D | https://www.congress.gov/bill/117th-congress/house-bill/4346/text?s=1&r=4&q=%7B%22search%22%3A%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%7D | https://www.congress.gov/bill/117th-congress/house-bill/4346/text?s=1&r=4&q=%7B%22search%22%3A%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%7D | https://www.congress.gov/bill/117th-congress/house-bill/4346/text?s=1&r=4&q=%7B%22search%22%3A%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%7D | https://www.congress.gov/bill/117th-congress/house-bill/4346/text?s=1&r=4&q=%7B%22search%22%3A%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%7D | https://www.congress.gov/bill/117th-congress/house-bill/4346/text?s=1&r=4&q=%7B%22search%22%3A%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%7D
"Rep. Joyce, David P. [R-OH-14]",J000295,R,OH,14,23,Armed Forces and National Security(23),"Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 125 (""Designation of official responsible for autonomous surface and underwater dual-modality vehicles"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section Title XV, Subtitle D (""Artificial Intelligence"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 222 (""Modification to artificial intelligence education strategy"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1638 (""Sense of Congress with respect to use of artificial intelligence to support strategic deterrence"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1066 (""Reports on approval and deployment of lethal autonomous weapon systems"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1031 (""Requirements for the unmanned maritime autonomy architecture"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1007 (""Use of technology using artificial intelligence to facilitate audit of the financial statements of the Department of Defense for fiscal year 2025"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 6504 (""Establishment of Artificial Intelligence Security Center"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 237 (""Pilot program on use of artificial intelligence for certain workflow and operations tasks"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 225 (""Duties of Chief Digital and Artificial Intelligence Officer Governing Council relating to artificial intelligence models and advanced artificial intelligence technologies"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 6506 (""Enhancement of authority for intelligence community public-private talent exchanges"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 236 (""Pilot program on development of near-term use cases and demonstration of artificial intelligence toward biotechnology applications for national security"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 221 (""Improvements relating to defining, identifying, and planning the artificial intelligence workforce of the Department of Defense"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1515 (""Protective measures for mobile devices within the Department of Defense"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1069 (""Biodefense posture reviews"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1547 (""Joint partner-sharing network capabilities for Middle East defense integration"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1078 (""Study and report on Department of Defense use of unmanned ground vehicle systems manufactured by certain foreign entities"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1032 (""Competitive demonstration of large and extra large unmanned underwater vehicles"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 235 (""Competitive demonstration of automated target recognition algorithms"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 232 (""Expansion of participation in the Digital On-Demand Program"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1087 (""Establishment of Department of Defense working group on multilateral artificial intelligence coordination"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 233 (""Management and utilization of digital data to enhance maintenance activities"") | Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025, Section 1514 (""Management and cybersecurity of multi-cloud environments"")",Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security,12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5009/committees?format=json,Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted,https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text | https://www.congress.gov/bill/118th-congress/house-bill/5009/text
"Rep. Latta, Robert E. [R-OH-5]",L000566,R,OH,5,1,"Science, Technology, Communications(1)","NTIA Reauthorization Act of 2023, Sec. 203 (""Spectrum management improvements"")","Science, Technology, Communications",1,2,https://api.congress.gov/v3/bill/118/hr/4510/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4510
"Rep. Miller, Max L. [R-OH-7]",M001222,R,OH,7,1,"Science, Technology, Communications(1)",Advanced Weather Model Computing Development Act,"Science, Technology, Communications",7,2,https://api.congress.gov/v3/bill/118/hr/1715/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/1715
"Rep. Turner, Michael R. [R-OH-10]",T000463,R,OH,10,2,Armed Forces and National Security(2),"Intelligence Authorization Act for Fiscal Year 2024, Sec. 909 (""Requirement to Ensure Intelligence Community Directives Appropriately Account for Artificial Intelligence and Machine Learning Tools in Intelligence Products"") | Intelligence Authorization Act for Fiscal Year 2024, Sec. 906 (""Programs for Next-Generation Microelectronics in Support of Artificial Intelligence"")",Armed Forces and National Security | Armed Forces and National Security,0 | 0,1 | 1,https://api.congress.gov/v3/bill/118/hr/3932/committees?format=json | https://api.congress.gov/v3/bill/118/hr/3932/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3932 | https://www.congress.gov/bill/118th-congress/house-bill/3932
"Rep. Wenstrup, Brad R. [R-OH-2]",W000815,R,OH,2,1,Armed Forces and National Security(1),"Sensible Classification Act of 2023, Sec. 7: Implementation of Technology for Classification and Declassification",Armed Forces and National Security,1,3,https://api.congress.gov/v3/bill/118/hr/5977/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/5977
"Rep. Bice, Stephanie I. [R-OK-5]",B000740,R,OK,5,3,"Government Operations and Politics(1); Science, Technology, Communications(1); Agriculture and Food(1)",DOGE Act | National Mesonet Authorization Act | Agriculture and National Security Act of 2024,"Government Operations and Politics | Science, Technology, Communications | Agriculture and Food",5 | 3 | 1,1 | 1 | 1,https://api.congress.gov/v3/bill/118/hr/10177/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2995/committees?format=json | https://api.congress.gov/v3/bill/118/hr/8522/committees?format=json,Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/10177/text | https://www.congress.gov/bill/118th-congress/house-bill/2995 | https://www.congress.gov/bill/118th-congress/house-bill/8522
"Rep. Cole, Tom [R-OK-4]",C001053,R,OK,4,4,Economics and Public Finance(4),"Further Continuing Appropriations and Disaster Relief Supplemental Appropriations Act 2025 (Title VIII ""Prohibition and Notification on Investments Relating to Covered National Security Transactions"") | Further Continuing Appropriations and Disaster Relief Supplemental Appropriations Act 2025 (Title V ""Promoting Resilient Supply Chains"") | Further Continuing Appropriations and Disaster Relief Supplemental Appropriations Act 2025 (Title IX ""Take It Down Act"") | Further Continuing Appropriations and Disaster Relief Supplemental Appropriations Act 2025 (Section 217 ""Report on Wearable Medical Devices"")",Economics and Public Finance | Economics and Public Finance | Economics and Public Finance | Economics and Public Finance,1 | 1 | 1 | 1,3 | 3 | 3 | 3,https://api.congress.gov/v3/bill/118/hr/10445/committees?format=json | https://api.congress.gov/v3/bill/118/hr/10445/committees?format=json | https://api.congress.gov/v3/bill/118/hr/10445/committees?format=json | https://api.congress.gov/v3/bill/118/hr/10445/committees?format=json,Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/10445/text | https://www.congress.gov/bill/118th-congress/house-bill/10445/text | https://www.congress.gov/bill/118th-congress/house-bill/10445/text | https://www.congress.gov/bill/118th-congress/house-bill/10445/text
"Rep. Hern, Kevin [R-OK-1]",H001082,R,OK,1,4,International Affairs(4),"Countering Communist China Act, Title VII (""Matters Related to Defense""), Sec. 701 (""Modifications to Use of Emergency Sanctions Authorities Regarding Communist Chinese Military Companies"") | Countering Communist China Act, Title I (""Matters Related to Trade, Investment, and Economic Relations""), Sec. 101 (""Preventing Adversaries from Developing Critical Capabilities"") | Countering Communist China Act, Title VI (""Matters Related to Democracy, Human Rights, and Taiwan""), Sec. 615 (""Deterring America's Technological Adversaries Act"") | Countering Communist China Act, Title I (""Matters Related to Trade, Investment, and Economic Relations""), Sec. 102 (""Sanctions with Respect to Communist Chinese Military and Surveillance Companies"")",International Affairs | International Affairs | International Affairs | International Affairs,49 | 49 | 49 | 49,15 | 15 | 15 | 15,https://api.congress.gov/v3/bill/118/hr/7476/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7476/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7476/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7476/committees?format=json,Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7476 | https://www.congress.gov/bill/118th-congress/house-bill/7476 | https://www.congress.gov/bill/118th-congress/house-bill/7476 | https://www.congress.gov/bill/118th-congress/house-bill/7476
"Rep. Lucas, Frank D. [R-OK-3]",L000491,R,OK,3,15,"Science, Technology, Communications(11); Transportation and Public Works(2); Agriculture and Food(1)","DOE and USDA Interagency Research Act | National Drone and Advanced Air Mobility Research and Development Act, Title IV (""National Science Foundation Activities"") | National Drone and Advanced Air Mobility Research and Development Act, Title II (""National Drone and Advanced Air Mobility Research Institutes"") | Weather Act Reauthorization Act of 2023, Sec. 502 (""National Integrated Drought Information System"") | FAA Research and Development Act of 2023, Sec. 210 (""Technology review of artificial intelligence and machine learning technologies"") | National Drone and Advanced Air Mobility Research and Development Act, Title VII (""Department of Homeland Security Activities"") | FAA Research and Development Act of 2023, Sec. 215 (""Air Traffic Control Training"") | National Drone and Advanced Air Mobility Research and Development Act, Title VI (""Department of Energy Activities"") | Weather Act Reauthorization Act of 2023, Sec. 108 (""Computing Resources Prioritization"") | Weather Act Reauthorization Act of 2023, Sec. 116(f) (""National Harmful Algal Bloom and Hypoxia Observing Network"") | Weather Act Reauthorization Act of 2023, Sec. 304 (""Data Assimilation, Management, and Sharing Practices"") | Weather Act Reauthorization Act of 2023, Sec. 402 (""Hazardous Weather or Water Event Risk Communication"") | National Quantum Initiative Reauthorization Act, Sec. 16 (""Department of Energy Quantum Information Science Research Program"") | NSF and USDA Interagency Research Act | Supercritical Geothermal Research and Development Act","Agriculture and Food | Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications | Transportation and Public Works | Science, Technology, Communications | Transportation and Public Works | Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications | Science, Technology, Communications | Energy",10 | 0 | 0 | 29 | 0 | 0 | 0 | 0 | 29 | 29 | 29 | 29 | 33 | 3 | 2,3 | 4 | 4 | 2 | 2 | 4 | 2 | 4 | 2 | 2 | 2 | 2 | 1 | 2 | 2,https://api.congress.gov/v3/bill/118/hr/1713/committees?format=json | https://api.congress.gov/v3/bill/118/hr/3560/committees?format=json | https://api.congress.gov/v3/bill/118/hr/3560/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6093/committees?format=json | https://api.congress.gov/v3/bill/118/hr/3559/committees?format=json | https://api.congress.gov/v3/bill/118/hr/3560/committees?format=json | https://api.congress.gov/v3/bill/118/hr/3559/committees?format=json | https://api.congress.gov/v3/bill/118/hr/3560/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6093/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6093/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6093/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6093/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6213/committees?format=json | https://api.congress.gov/v3/bill/118/hr/8613/committees?format=json | https://api.congress.gov/v3/bill/118/hr/8665/committees?format=json,Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/1713 | https://www.congress.gov/bill/118th-congress/house-bill/3560 | https://www.congress.gov/bill/118th-congress/house-bill/3560 | https://www.congress.gov/bill/118th-congress/house-bill/6093 | https://www.congress.gov/bill/118th-congress/house-bill/3559 | https://www.congress.gov/bill/118th-congress/house-bill/3560 | https://www.congress.gov/bill/118th-congress/house-bill/3559 | https://www.congress.gov/bill/118th-congress/house-bill/3560 | https://www.congress.gov/bill/118th-congress/house-bill/6093 | https://www.congress.gov/bill/118th-congress/house-bill/6093 | https://www.congress.gov/bill/118th-congress/house-bill/6093 | https://www.congress.gov/bill/118th-congress/house-bill/6093 | https://www.congress.gov/bill/118th-congress/house-bill/6213 | https://www.congress.gov/bill/118th-congress/house-bill/8613/text | https://www.congress.gov/bill/118th-congress/house-bill/8665/text
"Sen. Lankford, James [R-OK]",L000575,R,OK,,1,International Affairs(1),Countering Adversarial and Malicious Partnerships at Universities and Schools Act of 2023,International Affairs,0,1,https://api.congress.gov/v3/bill/118/s/2726/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/2726
"Sen. Mullin, Markwayne [R-OK]",M001190,R,OK,,1,Labor and Employment(1),"WIOA Performance Accountability Improvement Act, Section 2, Subsection (c) (""Evaluation of State programs."")",Labor and Employment,0,1,https://api.congress.gov/v3/bill/118/s/4501/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/4501/text
"Rep. Bonamici, Suzanne [D-OR-1]",B001278,D,OR,1,1,Environmental Protection(1),"Harmful Algal Bloom and Hypoxia Research and Control Amendments Act of 2023, Sec. 2f (""National Harmful Algal Bloom and Hypoxia Observing Network"")",Environmental Protection,5,2,https://api.congress.gov/v3/bill/118/hr/6235/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/6235
