Cosponsor_BioguideId,Cosponsor_FullName,Cosponsor_Party,Cosponsor_State,bill_count
G000585,"Rep. Gomez, Jimmy [D-CA-34]",D,CA,1
C001084,"Rep. Cicilline, David N. [D-RI-1]",D,RI,1
R000599,"Rep. Ruiz, Raul [D-CA-25]",D,CA,1
K000375,"Rep. Keating, William R. [D-MA-9]",D,MA,1
J000305,"Rep. Jacobs, Sara [D-CA-51]",D,CA,1
S001221,"Rep. Scholten, Hillary J. [D-MI-3]",D,MI,1
F000477,"Rep. Foushee, Valerie P. [D-NC-4]",D,NC,1
C001068,"Rep. Cohen, Steve [D-TN-9]",D,TN,1
E000296,"Rep. Evans, Dwight [D-PA-3]",D,PA,1
F000454,"Rep. Foster, Bill [D-IL-11]",D,IL,1
R000305,"Rep. Ross, Deborah K. [D-NC-2]",D,NC,1
G000587,"Rep. Garcia, Sylvia R. [D-TX-29]",D,TX,1
C001080,"Rep. Chu, Judy [D-CA-28]",D,CA,1
J000032,"Rep. Jackson Lee, Sheila [D-TX-18]",D,TX,1
K000381,"Rep. Kilmer, Derek [D-WA-6]",D,WA,1
Q000023,"Rep. Quigley, Mike [D-IL-5]",D,IL,1
S001150,"Rep. Schiff, Adam B. [D-CA-30]",D,CA,1
G000553,"Rep. Green, Al [D-TX-9]",D,TX,1
M001206,"Rep. Morelle, Joseph D. [D-NY-25]",D,NY,1
B001318,"Rep. Balint, Becca [D-VT-At Large]",D,VT,1
K000385,"Rep. Kelly, Robin L. [D-IL-2]",D,IL,1
F000462,"Rep. Frankel, Lois [D-FL-22]",D,FL,1
E000215,"Rep. Eshoo, Anna G. [D-CA-16]",D,CA,1
T000193,"Rep. Thompson, Bennie G. [D-MS-2]",D,MS,1
S001211,"Rep. Stanton, Greg [D-AZ-4]",D,AZ,1
D000216,"Rep. DeLauro, Rosa L. [D-CT-3]",D,CT,1
H001068,"Rep. Huffman, Jared [D-CA-2]",D,CA,1
K000394,"Rep. Kim, Andy [D-NJ-3]",D,NJ,1
P000597,"Rep. Pingree, Chellie [D-ME-1]",D,ME,1
C001131,"Rep. Casar, Greg [D-TX-35]",D,TX,1
L000557,"Rep. Larson, John B. [D-CT-1]",D,CT,1
D000624,"Rep. Dingell, Debbie [D-MI-6]",D,MI,1
L000601,"Rep. Landsman, Greg [D-OH-1]",D,OH,1
B000574,"Rep. Blumenauer, Earl [D-OR-3]",D,OR,1
G000586,"Rep. Garcia, Jesus G. ""Chuy"" [D-IL-4]",D,IL,1
L000551,"Rep. Lee, Barbara [D-CA-12]",D,CA,1
M001196,"Rep. Moulton, Seth [D-MA-6]",D,MA,1
M001223,"Rep. Magaziner, Seth [D-RI-2]",D,RI,1
F000476,"Rep. Frost, Maxwell [D-FL-10]",D,FL,1
S001145,"Rep. Schakowsky, Janice D. [D-IL-9]",D,IL,1
V000130,"Rep. Vargas, Juan [D-CA-52]",D,CA,1
T000460,"Rep. Thompson, Mike [D-CA-4]",D,CA,1
W000788,"Rep. Williams, Nikema [D-GA-5]",D,GA,1
C001097,"Rep. Cárdenas, Tony [D-CA-29]",D,CA,1
B001300,"Rep. Barragan, Nanette Diaz [D-CA-44]",D,CA,1
P000613,"Rep. Panetta, Jimmy [D-CA-19]",D,CA,1
V000131,"Rep. Veasey, Marc A. [D-TX-33]",D,TX,1
M001137,"Rep. Meeks, Gregory W. [D-NY-5]",D,NY,1
N000179,"Rep. Napolitano, Grace F. [D-CA-31]",D,CA,1
C001091,"Rep. Castro, Joaquin [D-TX-20]",D,TX,1
M001188,"Rep. Meng, Grace [D-NY-6]",D,NY,1
L000599,"Rep. Lawler, Michael [R-NY-17]",R,NY,1
