,bioguide,name,party,state,doc_count
74,C001114,"Sen. Curtis, John R. [R-UT]",R,UT,8
314,R000608,"Sen. Rosen, Jacky [D-NV]",D,NV,8
428,C001135,"Rep. Chavez-DeRemer, Lori [R-OR-5]",R,OR,8
397,M001218,"Rep. McCormick, Richard [R-GA-6]",R,GA,8
432,F000479,"Sen. Fetterman, John [D-PA]",D,PA,8
421,D000618,"Sen. Daines, Steve [R-MT]",R,MT,8
5,S001145,"Rep. Schakowsky, Janice D. [D-IL-9]",D,IL,8
355,W000790,"Sen. Warnock, Raphael G. [D-GA]",D,GA,8
284,S001150,"Sen. Schiff, Adam B. [D-CA]",D,CA,8
130,J000298,"Rep. Jayapal, Pramila [D-WA-7]",D,WA,8
445,C001120,"Rep. Crenshaw, Dan [R-TX-2]",R,TX,8
396,C001047,"Sen. Capito, Shelley Moore [R-WV]",R,WV,8
442,H001089,"Sen. Hawley, Josh [R-MO]",R,MO,8
244,S001221,"Rep. Scholten, Hillary J. [D-MI-3]",D,MI,7
256,G000587,"Rep. Garcia, Sylvia R. [D-TX-29]",D,TX,7
10,M001217,"Rep. Moskowitz, Jared [D-FL-23]",D,FL,7
465,N000194,"Rep. Nickel, Wiley [D-NC-13]",D,NC,7
185,L000562,"Rep. Lynch, Stephen F. [D-MA-8]",D,MA,7
220,P000608,"Rep. Peters, Scott H. [D-CA-50]",D,CA,7
453,T000193,"Rep. Thompson, Bennie G. [D-MS-2]",D,MS,7
183,K000383,"Sen. King, Angus S., Jr. [I-ME]",I,ME,7
224,R000579,"Rep. Ryan, Patrick [D-NY-18]",D,NY,7
202,C000880,"Sen. Crapo, Mike [R-ID]",R,ID,7
184,T000472,"Rep. Takano, Mark [D-CA-39]",D,CA,7
468,W000437,"Sen. Wicker, Roger F. [R-MS]",R,MS,7
174,B001310,"Sen. Braun, Mike [R-IN]",R,IN,7
248,C001125,"Rep. Carter, Troy A. [D-LA-2]",D,LA,7
193,H001085,"Rep. Houlahan, Chrissy [D-PA-6]",D,PA,7
456,M001223,"Rep. Magaziner, Seth [D-RI-2]",D,RI,7
269,E000295,"Sen. Ernst, Joni [R-IA]",R,IA,7
384,P000617,"Rep. Pressley, Ayanna [D-MA-7]",D,MA,7
143,S001181,"Sen. Shaheen, Jeanne [D-NH]",D,NH,7
315,F000446,"Rep. Feenstra, Randy [R-IA-4]",R,IA,7
492,P000614,"Rep. Pappas, Chris [D-NH-1]",D,NH,7
63,H001077,"Rep. Higgins, Clay [R-LA-3]",R,LA,7
502,C001127,"Rep. Cherfilus-McCormick, Sheila [D-FL-20]",D,FL,7
490,M001196,"Rep. Moulton, Seth [D-MA-6]",D,MA,7
462,T000250,"Sen. Thune, John [R-SD]",R,SD,7
488,V000133,"Rep. Van Drew, Jefferson [R-NJ-2]",R,NJ,7
113,M001176,"Sen. Merkley, Jeff [D-OR]",D,OR,7
54,T000482,"Rep. Trahan, Lori [D-MA-3]",D,MA,7
436,K000389,"Rep. Khanna, Ro [D-CA-17]",D,CA,7
156,C001097,"Rep. Cárdenas, Tony [D-CA-29]",D,CA,7
258,D000617,"Rep. DelBene, Suzan K. [D-WA-1]",D,WA,7
36,M000194,"Rep. Mace, Nancy [R-SC-1]",R,SC,7
410,G000555,"Sen. Gillibrand, Kirsten E. [D-NY]",D,NY,7
162,W000817,"Sen. Warren, Elizabeth [D-MA]",D,MA,7
264,R000606,"Rep. Raskin, Jamie [D-MD-8]",D,MD,7
509,S001207,"Rep. Sherrill, Mikie [D-NJ-11]",D,NJ,7
512,H000601,"Sen. Hagerty, Bill [R-TN]",R,TN,7
326,S001216,"Rep. Schrier, Kim [D-WA-8]",D,WA,6
422,C001078,"Rep. Connolly, Gerald E. [D-VA-11]",D,VA,6
333,D000633,"Rep. Duarte, John S. [R-CA-13]",R,CA,6
309,K000375,"Rep. Keating, William R. [D-MA-9]",D,MA,6
304,J000305,"Rep. Jacobs, Sara [D-CA-51]",D,CA,6
303,B001316,"Rep. Burlison, Eric [R-MO-7]",R,MO,6
