,bioguide,name,party,state,cross_betweenness,cross_weighted_degree,total_degree,cross_ratio
62,D000633,"Rep. Duarte, John S. [R-CA-13]",R,CA,0.0010689160424653414,19,57,0.3333333333333333
153,S001194,"Sen. Schatz, Brian [D-HI]",D,HI,0.0010161723804862422,68,159,0.4276729559748428
155,W000817,"Sen. Warren, Elizabeth [D-MA]",D,MA,0.0009829000584177378,45,115,0.391304347826087
66,C001072,"Rep. Carson, Andre [D-IN-7]",D,IN,0.0009632217026145611,36,858,0.04195804195804196
186,Y000064,"Sen. Young, Todd [R-IN]",R,IN,0.0009295743954995274,54,103,0.5242718446601942
145,C001117,"Rep. Casten, Sean [D-IL-6]",D,IL,0.0009037529519696435,8,514,0.01556420233463035
33,H001090,"Rep. Harder, Josh [D-CA-9]",D,CA,0.0008908911902458468,28,514,0.054474708171206226
193,H001085,"Rep. Houlahan, Chrissy [D-PA-6]",D,PA,0.0008856461563125623,31,556,0.05575539568345324
93,W000826,"Rep. Wild, Susan [D-PA-7]",D,PA,0.0008585811224435508,131,754,0.17374005305039789
95,W000800,"Sen. Welch, Peter [D-VT]",D,VT,0.0008271602357296559,76,170,0.4470588235294118
10,F000459,"Rep. Fleischmann, Charles J. ""Chuck"" [R-",R,TN,0.0008117179318027083,76,364,0.2087912087912088
169,J000298,"Rep. Jayapal, Pramila [D-WA-7]",D,WA,0.0007943918717273341,31,625,0.0496
261,E000215,"Rep. Eshoo, Anna G. [D-CA-16]",D,CA,0.0007858873334263934,17,169,0.10059171597633136
13,C001129,"Rep. Collins, Mike [R-GA-10]",R,GA,0.0007658619135731591,87,395,0.22025316455696203
91,G000551,"Rep. Grijalva, Raúl M. [D-AZ-7]",D,AZ,0.0007523255838327186,120,888,0.13513513513513514
276,N000194,"Rep. Nickel, Wiley [D-NC-13]",D,NC,0.000738837299368235,31,558,0.05555555555555555
192,C001133,"Rep. Ciscomani, Juan [R-AZ-6]",R,AZ,0.0007101152600869194,25,55,0.45454545454545453
68,M000194,"Rep. Mace, Nancy [R-SC-1]",R,SC,0.0007059289973724145,18,32,0.5625
248,V000136,"Rep. Vasquez, Gabe [D-NM-2]",D,NM,0.0007006810670411778,6,85,0.07058823529411765
22,S001215,"Rep. Stevens, Haley M. [D-MI-11]",D,MI,0.000669335657101112,133,766,0.17362924281984335
177,J000309,"Rep. Jackson, Jonathan L. [D-IL-1]",D,IL,0.0006684774876511187,36,698,0.05157593123209169
165,B001303,"Rep. Blunt Rochester, Lisa [D-DE-At Larg",D,DE,0.0006684493981098648,31,578,0.05363321799307959
215,S001181,"Sen. Shaheen, Jeanne [D-NH]",D,NH,0.0006609890561412653,62,129,0.4806201550387597
119,H000273,"Sen. Hickenlooper, John W. [D-CO]",D,CO,0.000634965643994747,97,186,0.521505376344086
173,L000582,"Rep. Lieu, Ted [D-CA-36]",D,CA,0.0006167905772043365,40,767,0.05215123859191656
244,M001237,"Rep. McDonald Rivet, Kristen [D-MI-8]",D,MI,0.0006137958817001458,4,17,0.23529411764705882
19,F000477,"Rep. Foushee, Valerie P. [D-NC-4]",D,NC,0.0006071780840547494,130,886,0.14672686230248308
189,L000593,"Rep. Levin, Mike [D-CA-49]",D,CA,0.0006002811126696447,28,540,0.05185185185185185
275,K000381,"Rep. Kilmer, Derek [D-WA-6]",D,WA,0.0005960971356855495,33,581,0.05679862306368331
188,M001163,"Rep. Matsui, Doris O. [D-CA-7]",D,CA,0.0005891364890251035,33,621,0.05314009661835749
